[-];[-];[m];
c;rch;offset;complete
1.0;1.5;0.0;0
1.0;1.4;0.0;0
1.0;1.3;0.0;0
1.0;1.2;0.0;0
1.0;1.1;0.0;0
1.0;1.0;0.0;0
1.0;0.9;0.0;0
1.0;0.8;0.0;0
1.0;0.7;0.0;0
1.0;0.6;0.0;0
1.0;0.5;0.0;0
1.0;1.0;0.1;0
1.0;1.0;0.2;0
1.0;1.0;0.3;0
1.0;1.0;0.4;0
1.0;1.0;0.5;0
1.0;1.0;0.6;0
1.0;1.0;0.7;0
1.0;1.0;0.8;0
1.0;1.0;0.9;0
1.0;1.0;1.0;0
1.0;1.0;1.5;0
1.0;1.0;2.0;0
1.0;1.0;2.5;0
1.0;1.0;5.0;0
1.0;1.0;10.0;0
1.0;1.0;20.0;0
4.3899384;0.911053;0.0;0
15.437407;1.0460014;0.0;0
68.30807;0.76276594;0.0;0
74.47877;0.7537282;0.0;0
96.7513;1.175821;0.0;0
32.58928;0.773212;0.0;0
37.052265;1.0123975;0.0;0
46.960884;1.0574939;0.0;0
18.95524;0.8490856;0.0;0
13.000852;1.1978654;0.0;0
47.575737;0.8450479;0.0;0
22.698666;1.1922575;0.0;0
66.9847;1.1314951;0.0;0
43.72082;0.87037146;0.0;0
83.26949;0.8253721;0.0;0
70.02951;0.90811634;0.0;0
31.24354;0.94897527;0.0;0
83.22766;0.8728923;0.0;0
80.478386;1.2494458;0.0;0
38.753963;0.86482614;0.0;0
28.839928;1.1653174;0.0;0
68.25272;0.82955885;0.0;0
13.9838505;1.2401223;0.0;0
19.998821;0.86276174;0.0;0
0.74615335;0.9608443;0.0;0
78.694565;1.029282;0.0;0
66.488434;0.8101429;0.0;0
70.519485;1.1584101;0.0;0
78.075096;0.88734275;0.0;0
45.896988;1.024635;0.0;0
56.878433;1.0248169;0.0;0
13.988302;1.0513203;0.0;0
11.461862;0.777743;0.0;0
66.84361;0.8343094;0.0;0
47.11491;0.83059615;0.0;0
56.527958;0.90102565;0.0;0
76.502235;0.8224571;0.0;0
63.475483;1.2109606;0.0;0
55.362404;1.0064772;0.0;0
55.925125;1.0617876;0.0;0
30.40197;0.9287441;0.0;0
3.0914752;0.8881231;0.0;0
43.677372;1.0015886;0.0;0
21.466322;0.8971615;0.0;0
40.85878;0.92182297;0.0;0
85.341774;0.97637546;0.0;0
23.40161;1.0028669;0.0;0
5.839691;1.242157;0.0;0
28.145575;0.8616613;0.0;0
29.36644;0.9939881;0.0;0
66.19503;0.82475585;0.0;0
55.707645;0.9249996;0.0;0
78.39198;1.1086553;0.0;0
66.43471;0.8372311;0.0;0
40.644623;1.0406756;0.0;0
81.4039;0.95835054;0.0;0
16.705622;0.7757898;0.0;0
2.28098;1.2165376;0.0;0
9.0138855;0.9568016;0.0;0
72.23871;1.1419632;0.0;0
46.193104;0.95815676;0.0;0
16.135565;1.2186801;0.0;0
50.109467;0.8952352;0.0;0
15.239687;0.9561153;0.0;0
69.63507;1.1294321;0.0;0
44.621166;0.92183363;0.0;0
38.10831;0.93217856;0.0;0
30.158194;1.2474116;0.0;0
63.031956;1.0278072;0.0;0
36.18764;1.0946902;0.0;0
8.774116;1.0717311;0.0;0
11.80941;1.1639621;0.0;0
96.19015;1.1809125;0.0;0
90.858986;1.031628;0.0;0
69.97372;0.897278;0.0;0
26.594337;0.7614001;0.0;0
96.917946;1.0572016;0.0;0
77.877304;1.1627344;0.0;0
71.69185;0.9752699;0.0;0
44.941658;0.83235306;0.0;0
27.231434;0.89404106;0.0;0
9.648132;1.0049945;0.0;0
90.261215;1.1683406;0.0;0
45.583073;0.8358766;0.0;0
20.244312;1.056075;0.0;0
